MRT,latitude,longitude
Jurong East MRT Station,1.333295066,103.7421539
Bukit Batok MRT Station,1.349033312,103.7495665
Bukit Gombak MRT Station,1.358611591,103.7517909
Choa Chu Kang MRT Station,1.385363165,103.7443708
Yew Tee MRT Station,1.397297711,103.7473577
Kranji MRT Station,1.425069063,103.7620994
Marsiling MRT Station,1.432626035,103.7740512
Woodlands MRT Station,1.43681963,103.7860668
Admiralty MRT Station,1.440588562,103.8009905
Sembawang MRT Station,1.449026685,103.8201395
Canberra MRT Station,1.443076641,103.8297026
Yishun MRT Station,1.429525229,103.8349951
Khatib MRT Station,1.417589061,103.833061
Yio Chu Kang MRT Station,1.381498825,103.8451707
Ang Mo Kio MRT Station,1.36993285,103.8495581
Bishan MRT Station,1.351018898,103.8500572
Braddell MRT Station,1.340105207,103.8467559
Toa Payoh MRT Station,1.332684091,103.8476089
Novena MRT Station,1.320211007,103.8436568
Newton MRT Station,1.312602086,103.8381499
Orchard MRT Station,1.302422248,103.8238685
Somerset MRT Station,1.300181132,103.8393111
Dhoby Ghaut MRT Station,1.298688723,103.8461799
City Hall MRT Station,1.292989907,103.8525426
Raffles Place MRT Station,1.283933262,103.8514631
Marina Bay MRT Station,1.276427355,103.8545978
Marina South Pier MRT Station,1.271027036,103.8624475
Pasir Ris MRT Station,1.37300805,103.9492651
Tampines MRT Station,1.356191483,103.9546345
Simei MRT Station,1.343179496,103.9533095
Tanah Merah MRT Station,1.327310982,103.9464517
Bedok MRT Station,1.323979969,103.9299845
Kembangan MRT Station,1.321047028,103.9129255
Eunos MRT Station,1.319760658,103.903048
Paya Lebar MRT Station,1.318106569,103.8931587
Aljunied MRT Station,1.316432612,103.882906
Kallang MRT Station,1.31148891,103.8713865
Lavender MRT Station,1.307506571,103.8629385
Bugis MRT Station,1.30026469,103.8556148
City Hall MRT Station,1.292989907,103.8525426
Raffles Place MRT Station,1.283933262,103.8514631
Tanjong Pagar MRT Station,1.276561317,103.8457252
Outram Park MRT Station,1.280241533,103.8400521
Tiong Bahru MRT Station,1.286102536,103.8274451
Redhill MRT Station,1.289348178,103.817044
Queenstown MRT Station,1.294193622,103.8061008
Commonwealth MRT Station,1.302501999,103.7982285
Buona Vista MRT Station,1.306275348,103.7903632
Dover MRT Station,1.311391537,103.7786564
Clementi MRT Station,1.315116253,103.7651915
Jurong East MRT Station,1.333295066,103.7421539
Chinese Garden MRT Station,1.342352821,103.7325967
Lakeside MRT Station,1.344104775,103.7203019
Boon Lay MRT Station,1.338604055,103.7060646
Pioneer MRT Station,1.337563831,103.6976315
Joo Koon MRT Station,1.327694365,103.6780851
Gul Circle MRT Station,1.319470901,103.6605305
Tuas Crescent MRT Station,1.321026956,103.6490782
Tuas West Road MRT Station,1.329985047,103.6396166
Tuas Link MRT Station,1.340882425,103.6369914
HarbourFront MRT Station,1.265311399,103.8205573
Outram Park MRT Station,1.280241533,103.8400521
Chinatown MRT Station,1.283964052,103.8431419
Clarke Quay MRT Station,1.287452114,103.8461192
Dhoby Ghaut MRT Station,1.298688723,103.8461799
Little India MRT Station,1.307243816,103.8498416
Farrer Park MRT Station,1.3131403,103.8547547
Boon Keng MRT Station,1.319939577,103.8620527
Potong Pasir MRT Station,1.331879714,103.8690579
Woodleigh MRT Station,1.339828246,103.8709609
Serangoon MRT Station,1.350633615,103.8727717
Kovan MRT Station,1.35990192,103.8844947
Hougang MRT Station,1.370334724,103.8922618
Buangkok MRT Station,1.383694172,103.89305
Sengkang MRT Station,1.391746133,103.8955082
Punggol MRT Station,1.405129568,103.9023698
Punggol Coast MRT Station,1.414927334,103.9101664
